date,sea level
1970-12-31,2188.0
1971-12-31,2168.5095890410958
1972-12-31,2149.401639344262
1973-12-31,2151.4657534246576
1974-12-31,2208.586301369863
1975-12-31,2130.386301369863
1976-12-31,2051.3934426229507
1977-12-31,2022.4
1978-12-31,2104.246575342466
1979-12-31,2082.7917808219177
1980-12-31,2095.4945355191257
1981-12-31,2089.460273972603
1982-12-31,2126.9506849315067
1983-12-31,2185.93698630137
1984-12-31,2169.5054644808743
1985-12-31,2140.0301369863014
1986-12-31,2163.66301369863
1987-12-31,2185.93698630137
1988-12-31,2128.6393442622953
1989-12-31,2130.353424657534
1990-12-31,2127.2575342465752
1991-12-31,2195.6164383561645
1992-12-31,2234.1748633879783
1993-12-31,2240.4
1994-12-31,2124.958904109589
1995-12-31,2153.46301369863
1996-12-31,2246.6284153005463
1997-12-31,2233.4
1998-12-31,2268.1534246575343
1999-12-31,2212.3315068493152
2000-12-31,2197.1284153005463
2001-12-31,2230.61095890411
2002-12-31,2241.9835616438354
2003-12-31,2213.5561643835617
2004-12-31,2220.497267759563
2005-12-31,2276.2657534246578
2006-12-31,2252.041095890411
2007-12-31,2217.1260273972603
2008-12-31,2242.601092896175
2009-12-31,2287.4191780821916
2010-12-31,2323.876712328767
2011-12-31,2309.7287671232875
2012-12-31,2299.292349726776
2013-12-31,2249.4027397260274
2014-12-31,2274.9753424657533
2015-12-31,2248.786301369863
2016-12-31,2289.292349726776
2017-12-31,2297.9972602739726
2018-12-31,2313.4191780821916
2019-12-31,2350.8657534246577
2020-12-31,2337.4863387978144
2021-12-31,2341.8739726027397
2022-12-31,2326.013698630137
2023-12-31,2411.1698630136984
2024-12-31,2409.4863387978144
